!13N to 13C e-capture
!From ../13n-13c_electroncapture.dat compiled by GMP from Schwab et al. 2017
!Experimental data used from Zegers et al. 2008
!
!Log(rhoY)       Log(T)        mu        dQ           Vs           Log(e-cap-rate)   nu-energy-loss       gamma-energy
!Log(g/cm^3)     Log(K)        erg       erg          erg          Log(1/s)          Log(erg/s)           Log(erg/s)
8.140000       8.800000     0.000000   -0.043400     0.0124       -0.339800            -5.554190e+00         -100.00
8.140000       8.850000     0.000000   -0.042800     0.0124       -0.339100            -5.553290e+00         -100.00
8.140000       8.900000     0.000000   -0.042100     0.0124       -0.338400            -5.552190e+00         -100.00
8.140000       8.950000     0.000000   -0.041400     0.0124       -0.337400            -5.550890e+00         -100.00
8.140000       9.000000     0.000000   -0.040700     0.0124       -0.336300            -5.549290e+00         -100.00
8.140000       9.050000     0.000000   -0.040000     0.0124       -0.334900            -5.547290e+00         -100.00
8.140000       9.100000     0.000000   -0.039200     0.0124       -0.333200            -5.544890e+00         -100.00
8.140000       9.150000     0.000000   -0.038500     0.0124       -0.331100            -5.541890e+00         -100.00
8.140000       9.200000     0.000000   -0.037600     0.0124       -0.328500            -5.538290e+00         -100.00
8.140000       9.250000     0.000000   -0.036800     0.0124       -0.325400            -5.533690e+00         -100.00
8.140000       9.300000     0.000000   -0.035900     0.0124       -0.321400            -5.528090e+00         -100.00
8.140000       9.350000     0.000000   -0.035000     0.0124       -0.316500            -5.521090e+00         -100.00
8.140000       9.400000     0.000000   -0.035700     0.0124       -0.310900            -5.512990e+00         -100.00
8.140000       9.450000     0.000000   -0.035000     0.0124       -0.303400            -5.502390e+00         -100.00
8.140000       9.500000     0.000000   -0.032100     0.0124       -0.293700            -5.488490e+00         -100.00
8.140000       9.550000     0.000000   -0.031100     0.0124       -0.282300            -5.472090e+00         -100.00
8.140000       9.600000     0.000000   -0.030000     0.0124       -0.268200            -5.451890e+00         -100.00
8.140000       9.650000     0.000000   -0.028900     0.0124       -0.251100            -5.427190e+00         -100.00
8.160000       8.000000     0.000000   -0.050500     0.0126       -0.315600            -5.528390e+00         -100.00
8.160000       8.050000     0.000000   -0.050200     0.0126       -0.315500            -5.528290e+00         -100.00
8.160000       8.100000     0.000000   -0.050000     0.0126       -0.315500            -5.528190e+00         -100.00
8.160000       8.150000     0.000000   -0.049700     0.0126       -0.315400            -5.528090e+00         -100.00
8.160000       8.200000     0.000000   -0.049400     0.0126       -0.315300            -5.527990e+00         -100.00
8.160000       8.250000     0.000000   -0.049100     0.0126       -0.315200            -5.527790e+00         -100.00
8.160000       8.300000     0.000000   -0.048800     0.0126       -0.315100            -5.527590e+00         -100.00
8.160000       8.350000     0.000000   -0.048400     0.0126       -0.314900            -5.527490e+00         -100.00
8.160000       8.400000     0.000000   -0.048000     0.0126       -0.314800            -5.527190e+00         -100.00
8.160000       8.450000     0.000000   -0.047600     0.0126       -0.314600            -5.526990e+00         -100.00
8.160000       8.500000     0.000000   -0.047200     0.0126       -0.314400            -5.526690e+00         -100.00
8.160000       8.550000     0.000000   -0.046800     0.0126       -0.314200            -5.526390e+00         -100.00
